y,x,street_count,od_id,category,EV1_ma,highway,node_fid
52.0877368,4.3013788,3.0,nan,nan,,nan,
52.0877379,4.3032019,4.0,nan,nan,,nan,
52.0878813,4.3084527,3.0,nan,nan,,nan,
52.0880463,4.2907909,3.0,nan,nan,,nan,
52.0880205,4.2943709,3.0,nan,nan,,nan,
52.0883448,4.3098678,3.0,nan,nan,,nan,
52.0885633,4.3065584,3.0,nan,nan,,nan,
52.0885977,4.306916,4.0,nan,nan,,nan,
52.0888139,4.3083,3.0,nan,nan,,nan,
52.0889939,4.309352,3.0,nan,nan,,nan,
52.0891633,4.2929195,3.0,nan,nan,,nan,
52.0891746,4.3064647,3.0,nan,nan,,nan,
52.0893374,4.3105429,3.0,nan,nan,,nan,
52.0894,4.3077,3.0,nan,nan,,nan,
52.0896607,4.3085617,2.0,nan,nan,,nan,
52.0897044,4.2939621,4.0,nan,nan,,nan,
52.0897417,4.3119385,5.0,nan,nan,,nan,
52.0898286,4.2967689,3.0,nan,nan,,nan,
52.0898356,4.2941981,2.0,nan,nan,,crossing,
52.0858475,4.3086781,1.0,nan,nan,,nan,
52.0889218,4.3051992,3.0,nan,nan,,nan,
52.0864664,4.3049881,4.0,nan,nan,,nan,
52.0745346,4.3151855,2.0,nan,nan,,nan,
52.0745443,4.3060102,2.0,nan,nan,,nan,
52.082933,4.2903459,4.0,nan,nan,,nan,
52.0817791,4.2880025,2.0,nan,nan,,nan,
52.0801418,4.3098752,3.0,nan,nan,,nan,
52.0800465,4.3100014,3.0,nan,nan,,nan,
52.0819914,4.3141501,2.0,nan,nan,,crossing,
52.0812585,4.313824,2.0,nan,nan,,nan,
52.0814466,4.3096128,3.0,nan,nan,,nan,
52.0822202,4.3110627,3.0,A_5,nan,-9999.0,nan,
52.074692,4.3072916,2.0,nan,nan,,nan,
52.0759954,4.3082027,1.0,nan,nan,,nan,
52.0792663,4.3109575,3.0,nan,nan,,nan,
52.0792036,4.3108261,3.0,nan,nan,,nan,
52.0900719,4.3123065,2.0,nan,nan,,traffic_signals,
52.0825762,4.2896157,3.0,nan,nan,,nan,
52.0783945,4.2990601,3.0,nan,nan,,nan,
52.0893225,4.3130737,2.0,nan,nan,,nan,
52.0900515,4.3124693,2.0,nan,nan,,crossing,
52.0885975,4.2980029,3.0,nan,nan,,nan,
52.0889661,4.2987137,3.0,nan,nan,,nan,
52.0878879,4.2960955,4.0,nan,nan,,nan,
52.0886364,4.2979572,4.0,nan,nan,,nan,
52.0895685,4.3006343,3.0,nan,nan,,nan,
52.089499,4.3006942,4.0,nan,nan,,nan,
52.0889098,4.2987679,4.0,nan,nan,,nan,
52.0879753,4.2960543,5.0,nan,nan,,nan,
52.0852434,4.2932811,4.0,nan,nan,,nan,
52.0872461,4.2930412,3.0,nan,nan,,nan,
52.086814,4.2925371,3.0,nan,nan,,nan,
52.0852721,4.2931652,3.0,nan,nan,,nan,
52.0861155,4.2923962,3.0,nan,nan,,nan,
52.0850235,4.2893491,2.0,nan,nan,,nan,
52.0854007,4.2932876,3.0,nan,nan,,nan,
52.0851177,4.2931876,4.0,nan,nan,,nan,
52.0856135,4.2930324,3.0,nan,nan,,nan,
52.0881958,4.2947801,3.0,nan,nan,,nan,
52.0850953,4.2893635,2.0,nan,nan,,nan,
52.085251,4.2931481,3.0,nan,nan,,nan,
52.0765951,4.2941388,3.0,nan,nan,,nan,
52.0789678,4.2913572,3.0,nan,nan,,nan,
52.0750299,4.295829,3.0,nan,nan,,nan,
52.0748984,4.2959455,2.0,nan,nan,,traffic_signals,
52.0749606,4.2956039,4.0,nan,nan,,nan,
52.0766208,4.294395,4.0,nan,nan,,nan,
52.0784302,4.2921038,3.0,nan,nan,,nan,
52.0766416,4.2946383,4.0,nan,nan,,nan,
52.0802716,4.2895533,4.0,nan,nan,,nan,
52.0816741,4.2879909,2.0,nan,nan,,nan,
52.0810594,4.2888211,3.0,nan,nan,,nan,
52.0788356,4.2919425,3.0,nan,nan,,nan,
52.080377,4.2897627,4.0,nan,nan,,nan,
52.0803928,4.2893856,2.0,nan,nan,,traffic_signals,
52.074128,4.2962785,2.0,nan,nan,,traffic_signals,
52.0899295,4.3021109,2.0,nan,nan,,nan,
52.0798641,4.3025671,4.0,nan,nan,,nan,
52.0798828,4.2952676,3.0,nan,nan,,nan,
52.0804307,4.2969215,3.0,nan,nan,,nan,
52.0869378,4.3004892,3.0,nan,nan,,nan,
52.0866764,4.3043987,3.0,nan,nan,,nan,
52.0873225,4.3017601,4.0,nan,nan,,nan,
52.0878361,4.3032101,4.0,nan,nan,,nan,
52.0877991,4.3033772,4.0,nan,nan,,nan,
52.0897899,4.2938517,2.0,nan,nan,,crossing,
52.0773648,4.3002768,1.0,nan,nan,,nan,
52.0774529,4.3002111,1.0,nan,nan,,nan,
52.0741818,4.2979119,2.0,nan,nan,,nan,
52.0787686,4.3073258,1.0,A_2,nan,-9999.0,nan,
52.0787305,4.3046946,1.0,nan,nan,,nan,
52.080414,4.2970907,3.0,nan,nan,,nan,
52.0804409,4.2981954,3.0,nan,nan,,nan,
52.0805798,4.2968876,4.0,nan,nan,,nan,
52.0819122,4.2879695,2.0,nan,nan,,crossing,
52.0807722,4.2974893,1.0,nan,nan,,nan,
52.0824426,4.3010281,1.0,nan,nan,,nan,
52.0837433,4.3042279,5.0,nan,nan,,nan,
52.0896562,4.3120064,2.0,nan,nan,,crossing,
52.0801702,4.3033185,1.0,nan,nan,,nan,
52.0742775,4.3101731,2.0,nan,nan,,nan,
52.0745961,4.3108181,3.0,nan,nan,,nan,
52.0896965,4.3060205,2.0,nan,nan,,nan,
52.0899632,4.3053719,2.0,nan,nan,,nan,
52.0898709,4.3118305,2.0,nan,nan,,traffic_signals,
52.0767734,4.3064774,4.0,nan,nan,,nan,
52.0779544,4.3052586,3.0,nan,nan,,nan,
52.0791275,4.3034295,3.0,nan,nan,,nan,
52.0792285,4.3033104,3.0,nan,nan,,nan,
52.0745031,4.3060476,3.0,nan,nan,,nan,
52.0751873,4.308136,3.0,nan,nan,,nan,
52.0829929,4.2902751,4.0,nan,nan,,nan,
52.0775571,4.2882276,2.0,nan,nan,,nan,
52.0867382,4.2882764,3.0,nan,nan,,nan,
52.0867833,4.2880054,2.0,nan,nan,,nan,
52.0792669,4.3033782,2.0,nan,nan,,nan,
52.0788168,4.291543,3.0,nan,nan,,nan,
52.0788972,4.2918517,3.0,nan,nan,,nan,
52.0792162,4.2881969,2.0,nan,nan,,nan,
52.0798586,4.288175,2.0,nan,nan,,nan,
52.0801741,4.2884195,2.0,nan,nan,,nan,
52.0741593,4.2928048,2.0,nan,nan,,nan,
52.079827,4.2984238,1.0,nan,nan,,nan,
52.0751166,4.3081878,3.0,nan,nan,,nan,
52.0849406,4.2914038,3.0,nan,nan,,nan,
52.0895902,4.3046203,2.0,nan,nan,,nan,
52.0884427,4.3061328,3.0,nan,nan,,nan,
52.0894606,4.3079289,4.0,nan,nan,,nan,
52.0898162,4.3074241,2.0,nan,nan,,nan,
52.089866,4.3076481,2.0,nan,nan,,nan,
52.0899557,4.3100539,2.0,nan,nan,,nan,
52.0891467,4.3081029,3.0,nan,nan,,nan,
52.0853273,4.3132509,3.0,nan,nan,,nan,
52.0890869,4.3061191,5.0,nan,nan,,nan,
52.078913,4.3044181,1.0,nan,nan,,nan,
52.0776389,4.2883163,2.0,nan,nan,,nan,
52.0785444,4.2923228,5.0,nan,nan,,nan,
52.0742114,4.3052144,2.0,nan,nan,,nan,
52.0746352,4.2910568,2.0,nan,nan,,nan,
52.079084,4.3115431,3.0,nan,nan,,nan,
52.0838501,4.3045993,3.0,nan,nan,,nan,
52.0809451,4.3082676,1.0,nan,nan,,nan,
52.0869677,4.3040878,3.0,nan,nan,,nan,
52.0815703,4.3095024,4.0,nan,nan,,nan,
52.0823238,4.3087537,3.0,nan,nan,,nan,
52.0831784,4.3079212,3.0,nan,nan,,nan,
52.0840492,4.2926356,4.0,nan,nan,,nan,
52.0833722,4.2934786,4.0,nan,nan,,nan,
52.0827366,4.2942489,3.0,nan,nan,,nan,
52.0805255,4.296751,3.0,nan,nan,,nan,
52.0804295,4.2985177,3.0,nan,nan,,nan,
52.0803855,4.3000916,3.0,nan,nan,,nan,
52.0803692,4.3006044,3.0,nan,nan,,nan,
52.0803362,4.3017489,4.0,nan,nan,,nan,
52.0781827,4.3050064,4.0,nan,nan,,nan,
52.0766233,4.3065496,3.0,nan,nan,,nan,
52.0757008,4.3073547,4.0,nan,nan,,nan,
52.0774965,4.3060941,3.0,nan,nan,,nan,
52.0814216,4.3136408,4.0,nan,nan,,nan,
52.0817467,4.3139033,3.0,nan,nan,,nan,
52.081852,4.3140747,2.0,nan,nan,,nan,
52.0743528,4.3075928,2.0,nan,nan,,nan,
52.0744458,4.3092195,2.0,nan,nan,,nan,
52.084775,4.2935084,3.0,nan,nan,,nan,
52.0845034,4.2879357,2.0,nan,nan,,nan,
52.0747668,4.2948631,3.0,nan,nan,,nan,
52.0878913,4.2962028,4.0,nan,nan,,nan,
52.0871149,4.3134333,2.0,nan,nan,,nan,
52.0803564,4.3010469,3.0,nan,nan,,nan,
52.0786754,4.2925643,3.0,nan,nan,,nan,
52.080353,4.2964028,3.0,nan,nan,,nan,
52.0838086,4.3041503,4.0,nan,nan,,nan,
52.083839,4.3043344,3.0,nan,nan,,nan,
52.08364,4.3038245,3.0,nan,nan,,nan,
52.0891608,4.3129994,2.0,nan,nan,,nan,
52.0854723,4.3089902,3.0,nan,nan,,nan,
52.0853367,4.3086379,3.0,nan,nan,,nan,
52.0856045,4.3093048,3.0,nan,nan,,nan,
52.0843641,4.3021702,1.0,nan,nan,,nan,
52.0848891,4.3016066,1.0,nan,nan,,nan,
52.0812049,4.2890976,2.0,nan,nan,,nan,
52.0879621,4.3020432,2.0,nan,nan,,nan,
52.0885808,4.306662,3.0,nan,nan,,nan,
52.0887589,4.3068142,3.0,nan,nan,,nan,
52.0796477,4.302822,4.0,nan,nan,,nan,
52.079888,4.3026263,1.0,nan,nan,,nan,
52.0801307,4.3038873,3.0,nan,nan,,nan,
52.089881,4.3124435,4.0,nan,nan,,nan,
52.0899517,4.3123943,4.0,nan,nan,,nan,
52.0899876,4.3125269,4.0,nan,nan,,nan,
52.0900405,4.3129588,2.0,nan,nan,,nan,
52.0899218,4.3125913,4.0,nan,nan,,nan,
52.0900565,4.3127714,2.0,nan,nan,,traffic_signals,
52.0749719,4.2946928,1.0,nan,nan,,nan,
52.0760891,4.2946223,3.0,nan,nan,,nan,
52.0782301,4.3051781,2.0,nan,nan,,nan,
52.075743,4.2935642,1.0,nan,nan,,nan,
52.0876823,4.29011,,A_1,nan,-9999.0,nan,11695230682.0
52.0758401,4.2971426,,A_3,nan,-9999.0,nan,11695230683.0
52.0774582,4.2893599,,A_4,nan,-9999.0,nan,11695230684.0
52.0895845,4.311434,,A_6,nan,-9999.0,nan,11695230685.0
52.0824275,4.2968917,,A_7,nan,0.5254965395833587,nan,11695230686.0
52.0820366,4.3014798,,A_8,nan,0.5199999809265137,nan,11695230687.0
52.0806463,4.311329,,A_9,nan,-9999.0,nan,11695230688.0
52.0750015,4.2933189,,B_1,repair,-9999.0,nan,11695230689.0
52.0867581,4.3043115,,B_3,repair,-9999.0,nan,11695230690.0
