name,highway,maxspeed,oneway,reversed,length,rfid_c,rfid,avgspeed,time,EV1_ma,EV1_fr,EV1_ma_PD1,node_A,node_B,edge_fid,lanes,bridge,width,ref,service,junction,tunnel,access,osmid_original
"['Kleine Veenkade', 'Joseph Ledelstraat']",residential,"['30', '50']",True,False,241.29000000000002,"[898, 899, 2660, 2661, 2658, 2659, 1836, 2741, 89, 90, 91, 93]",476,40.0,0.006,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[7493704, 7493600, 1346487527]"
De Constant Rebecquestraat,residential,30,False,True,73.49,125,63,30.0,0.002,-9999.0,0.0,1.0,,,nan,2,nan,nan,nan,nan,nan,nan,nan,7493706
Dibbetsstraat,residential,30,True,False,209.492,"[1504, 1505, 136, 114, 1503]",56,30.0,0.007,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493619
De Constant Rebecquestraat,residential,"['30', '50']",False,False,87.949,"[896, 1501, 2742]",474,40.0,0.002,-9999.0,0.0,1.0,,,nan,2,nan,nan,nan,nan,nan,nan,nan,"[7493706, 1346487526]"
Korte Vleerstraat,residential,30,False,True,138.88600000000002,"[128, 102, 104, 1103, 2161, 1784]",66,30.0,0.005,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7477336
Zuilingstraat,residential,30,False,True,105.527,"[1105, 145, 127]",78,30.0,0.004,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7477514
"['Zuilingstraat', 'Kortenbos']",residential,30,False,False,103.09300000000002,"[1120, 1122, 141, 111, 1777, 1779, 1781, 118, 1116, 1118]",74,30.0,0.003,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[7477514, 7477343]"
De Constant Rebecquestraat,residential,30,False,True,27.45,135,67,30.0,0.001,-9999.0,0.0,1.0,,,nan,2,nan,nan,nan,nan,nan,nan,nan,7493706
Vleerstraat,residential,30,False,True,31.854,147,77,30.0,0.001,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7477515
Joseph Ledelstraat,residential,30,False,True,133.605,"[1507, 1509, 1511, 172, 143]",94,30.0,0.004,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493574
De Constant Rebecquestraat,residential,30,False,True,157.57,"[132, 1869, 150]",80,30.0,0.005,-9999.0,0.0,1.0,,,nan,2,nan,nan,nan,nan,nan,nan,nan,7493706
